Search_name,Search_category
_CHC_tubulin_control,CHC control
_CHC_tubulin_rapamycin,CHC rapamycin
_chTOG_tubulin_control,chTOG control
_chTOG_tubulin_rapamycin,chTOG rapamycin
_GTSE1_tubulin_control,GTSE1 control
_GTSE1_tubulin_rapamycin,GTSE1 rapamycin
_TACC3_tubulin_control,TACC3 control
_TACC3_tubulin_rapamycin,TACC3 rapamycin
_tubulin_CHC_control,CHC control
_tubulin_CHC_rapamycin,CHC rapamycin
_tubulin_chTOG_control,chTOG control
_tubulin_chTOG_rapa,chTOG rapamycin
_tubulin_GTSE1_control,GTSE1 control
_tubulin_GTSE1_rapamycin,GTSE1 rapamycin
_tubulin_PI3KC2A_control,PI3KC2A control
_tubulin_PI3KC2A_rapamycin,PI3KC2A rapamycin
_tubulin_TACC3_control,TACC3 control
_tubulin_TACC3_rapamycin,TACC3 rapamycin
_tubulin_tubulin_control,tubulin control
_tubulin_tubulin_rapamycin,tubulin rapamycin
KC2A_tubulin_control,PI3KC2A control
KC2A_tubulin_rapamycin,PI3KC2A rapamycin